holiday,temp,rain_1h,snow_1h,clouds_all,weather_main,weather_description,traffic_volume
0,288.28,0.0,0.0,40,0,0,5545
0,289.36,0.0,0.0,75,0,1,4516
0,289.58,0.0,0.0,90,0,2,4767
0,290.13,0.0,0.0,90,0,2,5026
0,291.14,0.0,0.0,75,0,1,4918
0,291.72,0.0,0.0,1,1,3,5181
0,293.17,0.0,0.0,1,1,3,5584
0,293.86,0.0,0.0,1,1,3,6015
0,294.14,0.0,0.0,20,0,4,5791
0,293.1,0.0,0.0,20,0,4,4770
0,290.97,0.0,0.0,20,0,4,3539
0,289.38,0.0,0.0,1,1,3,2784
0,288.61,0.0,0.0,1,1,3,2361
0,287.16,0.0,0.0,1,1,3,1529
0,285.45,0.0,0.0,1,1,3,963
0,284.63,0.0,0.0,1,1,3,506
0,283.47,0.0,0.0,1,1,3,321
0,281.18,0.0,0.0,1,1,3,273
0,281.09,0.0,0.0,1,1,3,367
0,279.53,0.0,0.0,1,1,3,814
0,278.62,0.0,0.0,1,1,3,2718
0,278.23,0.0,0.0,1,1,3,5673
0,278.12,0.0,0.0,1,1,3,6511
0,282.48,0.0,0.0,1,1,3,5471
0,291.97,0.0,0.0,1,1,3,5097
0,293.23,0.0,0.0,1,1,3,4887
0,294.31,0.0,0.0,1,1,3,5337
0,295.17,0.0,0.0,1,1,3,5692
0,295.13,0.0,0.0,1,1,3,6137
0,293.66,0.0,0.0,20,0,4,4623
0,290.65,0.0,0.0,20,0,4,3591
0,288.19,0.0,0.0,20,0,4,2898
0,287.1,0.0,0.0,1,1,3,2637
0,286.25,0.0,0.0,1,1,3,1777
0,285.26,0.0,0.0,1,1,3,1015
0,284.55,0.0,0.0,1,1,3,598
0,283.47,0.0,0.0,1,1,3,369
0,283.17,0.0,0.0,1,1,3,312
0,282.04,0.0,0.0,1,1,3,367
0,281.69,0.0,0.0,1,1,3,835
0,281.32,0.0,0.0,1,1,3,2726
0,280.74,0.0,0.0,1,1,3,5689
0,280.57,0.0,0.0,1,1,3,6990
0,281.86,0.0,0.0,1,1,3,5985
0,284.98,0.0,0.0,1,1,3,5309
0,289.18,0.0,0.0,1,1,3,4603
0,291.55,0.0,0.0,1,1,3,4884
0,294.97,0.0,0.0,1,1,3,5104
0,296.38,0.0,0.0,1,1,3,5178
0,297.32,0.0,0.0,1,1,3,5501
